team,champion_pct
France,14.5
Spain,13.2
Argentina,13.1
Portugal,9.4
England,8.9
Brazil,8.6
Netherlands,5.5
Belgium,4.6
Morocco,4.3
Germany,3.9
Croatia,3.2
Colombia,2.2
Uruguay,2.0
Senegal,1.4
Switzerland,1.3
Japan,0.9
Mexico,0.9
USA,0.6
Norway,0.4
Austria,0.4
Scotland,0.2
South Korea,0.1
Ivory Coast,0.1
Ecuador,0.1
Turkey,0.1
DR Congo,0.0
Uzbekistan,0.0
Bosnia and Herzegovina,0.0
Qatar,0.0
Jordan,0.0
Czechia,0.0
Algeria,0.0
South Africa,0.0
Panama,0.0
Canada,0.0
Haiti,0.0
Iraq,0.0
Cape Verde,0.0
Saudi Arabia,0.0
Australia,0.0
New Zealand,0.0
Egypt,0.0
Iran,0.0
Sweden,0.0
Tunisia,0.0
Paraguay,0.0
Curacao,0.0
Ghana,0.0
