team_a,team_b,goals_a,goals_b,outcome,rating_a,rating_b,prob_a_win,prob_draw,prob_b_win,neutral,stage,year
Canada,Morocco,2,1,home_win,1660,1650,0.3704,0.28,0.3496,False,final,2019
Ecuador,Morocco,2,2,draw,1570,1650,0.2785,0.28,0.4415,True,group,2024
Brazil,France,1,2,away_win,1820,1840,0.3393,0.28,0.3807,True,semi,2016
Germany,France,4,5,away_win,1880,1840,0.4013,0.28,0.3187,False,friendly,2016
Iran,Ecuador,0,2,away_win,1530,1570,0.3187,0.28,0.4013,True,friendly,2011
Wales,Mexico,3,0,home_win,1710,1630,0.4415,0.28,0.2785,False,group,2024
Costa Rica,Poland,2,1,home_win,1510,1600,0.2688,0.28,0.4512,True,group,2013
Japan,Cameroon,2,2,draw,1640,1560,0.4415,0.28,0.2785,True,friendly,2020
Ghana,Poland,2,1,home_win,1550,1600,0.3085,0.28,0.4115,True,quarter,2011
South Korea,Spain,0,1,away_win,1590,1800,0.1655,0.28,0.5545,True,friendly,2017
Canada,Ghana,1,0,home_win,1560,1550,0.3704,0.28,0.3496,True,round_of_16,2019
Germany,Serbia,5,0,home_win,1780,1595,0.5354,0.28,0.1846,True,group,2017
Tunisia,Ghana,2,2,draw,1540,1550,0.3496,0.28,0.3704,True,final,2017
Italy,Croatia,3,4,away_win,1810,1700,0.4703,0.28,0.2497,False,semi,2020
Ecuador,Denmark,1,2,away_win,1570,1670,0.2592,0.28,0.4608,True,friendly,2018
Tunisia,France,2,3,away_win,1540,1840,0.1087,0.28,0.6113,True,group,2018
Canada,Serbia,2,1,home_win,1660,1595,0.4266,0.28,0.2934,False,friendly,2020
Brazil,Ghana,1,1,draw,1820,1550,0.5944,0.28,0.1256,True,friendly,2022
Serbia,Croatia,2,2,draw,1595,1700,0.2544,0.28,0.4656,True,semi,2024
Saudi Arabia,Ghana,2,0,home_win,1520,1550,0.329,0.28,0.391,True,group,2022
Iran,Costa Rica,3,0,home_win,1530,1510,0.3807,0.28,0.3393,True,friendly,2011
Italy,Iran,2,1,home_win,1710,1530,0.5314,0.28,0.1886,True,group,2015
Mexico,Qatar,3,2,home_win,1630,1490,0.4977,0.28,0.2223,True,quarter,2017
Morocco,Japan,2,0,home_win,1650,1640,0.3704,0.28,0.3496,True,final,2014
Japan,Senegal,3,2,home_win,1640,1610,0.391,0.28,0.329,True,friendly,2016
Senegal,Costa Rica,0,0,draw,1610,1510,0.4608,0.28,0.2592,True,group,2020
Portugal,Ghana,2,3,away_win,1760,1550,0.5545,0.28,0.1655,True,round_of_16,2018
Uruguay,Iran,2,1,home_win,1680,1530,0.5064,0.28,0.2136,True,group,2022
Croatia,Australia,1,5,away_win,1700,1580,0.4796,0.28,0.2404,True,friendly,2016
Denmark,USA,3,3,draw,1770,1620,0.5064,0.28,0.2136,False,friendly,2014
Japan,Brazil,4,2,home_win,1640,1820,0.1886,0.28,0.5314,True,group,2015
Senegal,South Korea,1,1,draw,1710,1590,0.4796,0.28,0.2404,False,friendly,2020
Tunisia,Germany,1,0,home_win,1640,1780,0.2223,0.28,0.4977,False,friendly,2016
England,Poland,1,0,home_win,1890,1600,0.6059,0.28,0.1141,False,round_of_16,2023
Serbia,South Korea,2,2,draw,1595,1590,0.3652,0.28,0.3548,True,quarter,2025
Canada,South Korea,4,3,home_win,1660,1590,0.4316,0.28,0.2884,False,friendly,2018
Saudi Arabia,Senegal,3,3,draw,1520,1610,0.2688,0.28,0.4512,True,friendly,2019
Qatar,Senegal,3,4,away_win,1490,1610,0.2404,0.28,0.4796,True,friendly,2015
Serbia,Saudi Arabia,1,1,draw,1595,1520,0.4365,0.28,0.2835,True,friendly,2023
Serbia,Italy,4,3,home_win,1595,1710,0.245,0.28,0.475,True,group,2015
Ghana,Spain,2,3,away_win,1550,1800,0.138,0.28,0.582,True,semi,2017
Croatia,Argentina,1,2,away_win,1800,1850,0.3085,0.28,0.4115,False,friendly,2023
Uruguay,Qatar,1,0,home_win,1780,1490,0.6059,0.28,0.1141,False,friendly,2017
Costa Rica,Ecuador,2,2,draw,1510,1570,0.2984,0.28,0.4216,True,group,2023
Cameroon,Japan,2,1,home_win,1660,1640,0.3807,0.28,0.3393,False,group,2012
Italy,Argentina,2,0,home_win,1710,1850,0.2223,0.28,0.4977,True,round_of_16,2011
Tunisia,Costa Rica,2,1,home_win,1640,1510,0.4887,0.28,0.2313,False,friendly,2024
England,Mexico,0,1,away_win,1890,1630,0.5883,0.28,0.1317,False,group,2010
Brazil,Belgium,1,0,home_win,1820,1720,0.4608,0.28,0.2592,True,final,2011
Italy,England,1,1,draw,1710,1790,0.2785,0.28,0.4415,True,quarter,2024
Ghana,Morocco,5,5,draw,1550,1650,0.2592,0.28,0.4608,True,round_of_16,2023
Argentina,Netherlands,2,0,home_win,1850,1750,0.4608,0.28,0.2592,True,friendly,2023
Mexico,Belgium,0,1,away_win,1630,1720,0.2688,0.28,0.4512,True,quarter,2022
Tunisia,Germany,0,0,draw,1540,1780,0.1445,0.28,0.5755,True,friendly,2016
Uruguay,Saudi Arabia,2,1,home_win,1780,1520,0.5883,0.28,0.1317,False,friendly,2013
Croatia,Belgium,3,3,draw,1700,1720,0.3393,0.28,0.3807,True,round_of_16,2023
England,Italy,5,4,home_win,1790,1710,0.4415,0.28,0.2785,True,friendly,2018
Ghana,Netherlands,1,1,draw,1550,1750,0.173,0.28,0.547,True,round_of_16,2010
Serbia,South Korea,1,0,home_win,1595,1590,0.3652,0.28,0.3548,True,group,2020
Ghana,USA,2,1,home_win,1550,1620,0.2884,0.28,0.4316,True,friendly,2023
Cameroon,Mexico,1,0,home_win,1560,1630,0.2884,0.28,0.4316,True,quarter,2018
Germany,Iran,2,3,away_win,1780,1530,0.582,0.28,0.138,True,final,2019
Italy,Canada,0,0,draw,1710,1560,0.5064,0.28,0.2136,True,quarter,2025
Ecuador,Brazil,0,0,draw,1570,1820,0.138,0.28,0.582,True,group,2017
Belgium,Wales,2,1,home_win,1820,1610,0.5545,0.28,0.1655,False,group,2014
Netherlands,Japan,2,0,home_win,1750,1640,0.4703,0.28,0.2497,True,friendly,2017
South Korea,Argentina,3,3,draw,1690,1850,0.205,0.28,0.515,False,friendly,2024
