team,elo_rating,form_points,avg_goals_scored,avg_goals_conceded,wc_titles,squad_value_m,world_ranking
Argentina,1850,2.99,1.59,0.64,3,619.0,1
France,1840,2.73,1.53,1.0,2,560.0,2
England,1790,2.29,1.55,0.98,1,541.0,5
Brazil,1820,2.86,2.06,0.94,5,576.0,3
Spain,1800,3.0,1.68,0.62,1,568.0,4
Germany,1780,3.0,1.39,0.82,4,490.0,6
Portugal,1760,3.0,2.07,0.9,0,558.0,7
Netherlands,1750,2.19,1.7,0.99,0,600.0,8
Belgium,1720,3.0,1.63,0.82,0,485.0,9
Croatia,1700,2.92,1.28,0.99,0,645.0,11
Italy,1710,3.0,1.18,1.08,4,597.0,10
Uruguay,1680,2.85,1.44,0.7,2,550.0,12
USA,1620,2.91,1.5,0.92,0,564.0,18
Mexico,1630,3.0,1.65,0.95,0,524.0,17
Japan,1640,2.68,1.27,1.09,0,578.0,16
Morocco,1650,2.51,1.64,1.09,0,591.0,15
Senegal,1610,2.84,1.09,1.16,0,440.0,19
Australia,1580,2.36,1.54,1.12,0,518.0,24
South Korea,1590,2.47,1.6,1.13,0,517.0,23
Switzerland,1660,2.05,1.32,0.94,0,640.0,14
Denmark,1670,3.0,1.35,1.05,0,593.0,13
Poland,1600,2.54,1.68,0.85,0,550.0,21
Serbia,1595,2.45,1.17,0.8,0,535.0,22
Ecuador,1570,2.71,1.55,0.97,0,525.0,25
Cameroon,1560,2.85,1.37,0.93,0,485.0,26
Ghana,1550,2.93,1.52,1.13,0,576.0,28
Tunisia,1540,2.73,1.87,0.81,0,517.0,29
Saudi Arabia,1520,2.36,1.29,0.9,0,432.0,31
Iran,1530,2.44,1.48,1.04,0,561.0,30
Wales,1610,2.53,1.25,0.96,0,549.0,20
Costa Rica,1510,2.96,1.44,1.22,0,473.0,32
Canada,1560,2.26,1.17,1.06,0,483.0,27
Qatar,1490,3.0,1.34,0.88,0,489.0,33
